qid,type,inj_num,orig_num,inj_survived,orig_restored,g1_det,g2_det,g3_det,any_gate,g1_false_positive,g2_false_positive,g3_false_positive,any_false_positive,suppressed_no_restore
FB_031_E5667B37,dollar_amount,762.0,1165.0,False,True,True,True,False,True,False,False,False,False,False
FB_031_E5667B37,dollar_amount,7678.0,5506.0,False,False,True,True,False,True,False,False,False,False,True
FB_031_E5667B37,percentage,29.4,21.2,True,True,False,False,False,False,False,False,False,False,False
FB_032_D18D6021,dollar_amount,1474.0,1202.0,True,True,False,False,False,False,False,False,False,False,False
FB_032_D18D6021,dollar_amount,6844.0,4973.0,True,True,False,False,False,False,False,False,False,False,False
FB_033_EE9D3CFB,dollar_amount,8249.0,10800.0,True,False,False,False,False,False,False,False,False,False,False
FB_033_EE9D3CFB,dollar_amount,6395.0,9763.0,False,True,True,False,False,True,False,False,False,False,False
FB_033_EE9D3CFB,dollar_amount,4399.0,3763.0,False,True,True,False,False,True,False,False,False,False,False
FB_034_BDBAA961,dollar_amount,22281.0,16420.0,False,True,True,True,False,True,False,False,False,False,False
FB_034_BDBAA961,percentage,33.9,43.8,False,True,True,True,False,True,False,False,False,False,False
FB_034_BDBAA961,dollar_amount,10590.0,16420.0,False,True,True,True,False,True,False,False,False,False,False
FB_035_15E1E864,percentage,6.4,14.0,False,True,True,False,False,True,False,False,False,False,False
FB_035_15E1E864,large_number,2445.0,1832.0,False,True,True,False,False,True,False,False,False,False,False
FB_035_15E1E864,large_number,12160.0,9763.0,False,False,True,False,False,True,False,False,False,False,True
FB_036_47FD0B96,large_number,802.0,1028.0,False,True,False,True,False,True,False,False,False,False,False
FB_036_47FD0B96,large_number,1829.0,1525.0,True,False,False,False,False,False,False,False,False,False,False
FB_037_CB0A4D6D,dollar_amount,3135.0,3800.0,True,True,False,False,False,False,False,False,False,False,False
FB_037_CB0A4D6D,dollar_amount,2208.0,3100.0,False,True,True,True,False,True,False,False,False,False,False
FB_037_CB0A4D6D,dollar_amount,2500.0,3100.0,False,True,True,True,False,True,False,False,False,False,False
FB_038_9BAA83E2,dollar_amount,19432.0,23600.0,False,False,True,False,False,True,False,False,False,False,True
FB_038_9BAA83E2,percentage,51.7,55.0,False,True,True,False,False,True,False,False,False,False,False
FB_039_FDBB6DC2,dollar_amount,1372.0,1000.0,False,True,True,True,False,True,False,False,False,False,False
FB_039_FDBB6DC2,percentage,0.01,4.0,True,True,False,False,False,False,False,False,False,False,False
FB_039_FDBB6DC2,dollar_amount,46807.0,39000.0,False,True,True,True,False,True,False,False,False,False,False
FB_040_DBF8FC6A,dollar_amount,62827.0,51000.0,False,True,True,True,False,True,False,False,False,False,False
FB_040_DBF8FC6A,percentage,29.6,21.6,False,True,True,True,False,True,False,False,False,False,False
FB_041_EB5B1B78,dollar_amount,48564.0,36090.0,False,True,True,False,False,True,False,False,False,False,False
FB_041_EB5B1B78,dollar_amount,5847.0,4825.0,False,True,True,False,False,True,False,False,False,False,False
FB_041_EB5B1B78,dollar_amount,49343.0,36090.0,False,True,True,False,False,True,False,False,False,False,False
FB_042_1741E456,dollar_amount,23630.0,18816.0,False,False,True,True,False,True,False,False,False,False,True
FB_042_1741E456,dollar_amount,17915.0,28842.0,False,False,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,percentage,24.1,20.1,True,True,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,dollar_amount,5968.0,7667.0,False,True,False,False,False,False,False,False,False,False,False
FB_043_1BA81F6A,percentage,31.3,20.1,False,True,True,True,False,True,False,False,False,False,False
FB_044_899DEDA7,dollar_amount,87723.0,106196.0,False,True,True,True,False,True,False,False,False,False,False
FB_044_899DEDA7,dollar_amount,75098.0,58160.0,False,False,True,True,False,True,False,False,False,False,True
FB_044_899DEDA7,dollar_amount,35269.0,50000.0,False,False,True,True,True,True,False,False,False,False,True
FB_045_3960FE69,percentage,0.0,5.1,False,True,False,False,False,False,False,False,False,False,False
FB_045_3960FE69,percentage,0.1,6.3,False,True,False,False,False,False,False,False,False,False,False
FB_046_E323A993,dollar_amount,1420.0,1034.0,False,False,True,True,False,True,False,False,False,False,True
FB_046_E323A993,dollar_amount,650.0,977.0,False,True,True,True,False,True,False,False,False,False,False
FB_047_A9C061FE,dollar_amount,966.0,1426.0,False,True,True,True,True,True,False,False,False,False,False
FB_047_A9C061FE,dollar_amount,832.0,1019.0,False,True,True,True,True,True,False,False,False,False,False
FB_047_A9C061FE,dollar_amount,208.0,263.0,False,False,True,True,True,True,False,False,False,False,True
FB_048_79F71CE3,dollar_amount,1823.0,1519.0,False,False,True,False,False,True,False,False,False,False,True
FB_048_79F71CE3,dollar_amount,522.0,684.0,False,True,True,True,False,True,False,False,False,False,False
FB_048_79F71CE3,dollar_amount,721.0,606.0,False,True,True,False,False,True,False,False,False,False,False
FB_049_4416C718,dollar_amount,924.0,1173.0,False,True,True,True,False,True,False,False,False,False,False
FB_049_4416C718,percentage,0.0,2.9,False,True,False,False,False,False,False,False,False,False,False
