model_a,model_b,det_a_pct,det_b_pct,diff_pp,n_pairs,chi2,p_val,sig,cohens_h,effect,n11,n10,n01,n00
Llama 3 70B Instruct,Gemini 2.5 Flash,51.4,72.5,-21.1,346,44.308,0.0,***,-0.439,small,156,22,95,73
Llama 3 70B Instruct,DeepSeek-V3.2,51.4,75.7,-24.3,346,63.787,0.0,***,-0.511,medium,166,12,96,72
Llama 3 70B Instruct,Qwen3.5-397B,51.4,87.0,-35.5,346,108.642,0.0,***,-0.804,large,171,7,130,38
Gemini 2.5 Flash,DeepSeek-V3.2,72.5,75.7,-3.2,346,1.124,0.289146,ns,-0.073,small,212,39,50,45
Gemini 2.5 Flash,Qwen3.5-397B,72.5,87.0,-14.5,346,30.012,0.0,***,-0.365,small,236,15,65,30
DeepSeek-V3.2,Qwen3.5-397B,75.7,87.0,-11.3,346,18.278,1.9e-05,***,-0.293,small,242,20,59,25
