hallucination_id,question_id,injection_type,trajectory_either,trajectory_judge,stage1_detected,stage4_detected,category,category_judge
FB_078_F8A3C776_H2,FB_078_F8A3C776,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_078_F8A3C776_H1,FB_078_F8A3C776,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_079_C8770283_H3,FB_079_C8770283,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
FB_079_C8770283_H2,FB_079_C8770283,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_079_C8770283_H1,FB_079_C8770283,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_081_4E1CC3D9_H2,FB_081_4E1CC3D9,large_number,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_081_4E1CC3D9_H1,FB_081_4E1CC3D9,large_number,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_082_4FFC55E4_H2,FB_082_4FFC55E4,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_082_4FFC55E4_H1,FB_082_4FFC55E4,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_083_62A760DF_H3,FB_083_62A760DF,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_083_62A760DF_H2,FB_083_62A760DF,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Partially Detected (caught at end),Partially Detected (caught at end)
FB_083_62A760DF_H1,FB_083_62A760DF,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Partially Detected (caught at end),Partially Detected (caught at end)
FB_084_403F35B5_H2,FB_084_403F35B5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_084_403F35B5_H1,FB_084_403F35B5,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_085_149EBAE9_H3,FB_085_149EBAE9,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_085_149EBAE9_H2,FB_085_149EBAE9,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
